Shah_contrast.1,Shah_contrast.2,Shah_contrast.3,Shah_contrast.4,Shah_contrast.5,Shah_contrast.6,Shah_contrast.7,Shah_contrast.8,Shah_contrast.9,Shah_contrast.10,Shah_contrast.11,Shah_contrast.12,Shah_contrast.13,Shah_contrast.14,Shah_contrast.15,Shah_contrast.16,Shah_contrast.17,Shah_contrast.18
Cox5a,Narf,Rpl13,Rab5b,Pdgfb,Gpr107,Gmpr,Brat1,Ccnd2,Armc6,Galnt1,Scpep1,Acap1,Cnnm3,Arpp19,Ube2c,Itgb7,NA
Mcts1,Xpo6,Rmnd5b,Fmr1,Acvrl1,Clec2g,Hddc2,Raf1,Cd52,Flii,Ell2,Gm2a,Sec14l2,Cd320,Tvp23b,Ggct,Man1a,NA
Ccl3,Itgb2l,Nhp2,Pcnt,Abhd15,Clec10a,Cdh1,Tom1l2,Pfdn5,Mast2,Ubl3,Dnmt3l,Slc1a3,Aven,Rxrg,Ercc1,Chn2,NA
Ift20,Cdh4,Tubb5,Nom1,Mmp14,Sp1,Pparg,Tubgcp3,Trappc6a,Tbl2,Sipa1l2,Kpnb1,Rfx5,Epor,Plxdc1,Ifi35,Adam19,NA
Uxt,Hk2,Ddx18,Ap4e1,Mapk7,Ap1m2,Kcnn3,Nacc1,Med25,Smpd4,Rmnd5a,Hsf2bp,Tnr,Slc44a4,Pnpla5,Prpsap1,Csf1,NA
Acp5,Myo18a,Nfix,Hltf,Cfp,Angptl2,Pxmp4,Tsc2,Pafah1b3,Hipk1,Glg1,Acp2,Il12rb2,Ift43,Sgk1,Dbndd2,Abca1,NA
Fbxo9,Hip1r,Fam50a,Ranbp2,Ckb,Eif2ak4,Lsr,Axl,Trim28,Ewsr1,Hfe,Psap,Pdk4,Ppp2cb,Ltc4s,Pcgf2,Sdc4,NA
Zmat2,Heatr6,Ndufa11,Msh6,Rapsn,Zfp287,Abhd3,Il17ra,Ndufa2,Ubp1,Tle1,Adgre1,Tc2n,Pam16,Xbp1,Mtrf1l,Uhrf1bp1l,NA
Ifrd1,Zfp276,Use1,Ctr9,Clptm1,Adcy9,Snrpd1,Ap2a2,Rnf166,Evi5l,Bnip2,Mcm5,Eci3,Camta1,Krt19,Taf15,Lats2,NA
Akr1b3,Mcm3ap,Mien1,Eif4g2,Apoe,Apc,Rpl3l,Kif20a,Endog,Cad,Eps8,Tnpo1,Golm1,Mafk,Plcd3,Tcam1,Mefv,NA
Eef1e1,Uhrf1,Gtf2f1,Kit,Tbc1d8,Kctd20,Slc9a3r2,Dnmt1,Surf1,Arnt,Stard13,Mcu,Clcn2,Gpx3,Ttc8,Zscan26,Gbe1,NA
Capns1,Brpf1,Mrpl2,Nectin4,Cyp4f18,Dnase1,Alkbh7,Ikbkg,H2-M2,Mybl2,Nup50,Hyal1,Gabbr1,Dhrs13,Rnf180,Cmss1,Tiam2,NA
Blvra,Nup214,Mrpl4,Qrich1,Il7r,Eps8l1,Timmdc1,Prcc,Mrps18c,Dnah11,Pacsin2,Fads1,Sema6d,Gadd45g,Uchl3,Slc15a2,Vegfa,NA
Idh3g,Slc1a5,Rabac1,Saal1,Stat3,Cers4,Sri,Ubqln1,H2bc4,G3bp1,Appbp2,Pea15a,Cdc25b,Catsper3,Dab2,Ccndbp1,Clic5,NA
Ssr4,Supt6,Rps11,Tgfbr1,Spic,Trpm2,Tfam,Ampd3,Cdk5rap3,Alox12e,Epb41l2,Fcgr1,Bmp2,Rnaseh2b,Dcaf13,Zeb1,Ccnj,NA
Rhoc,Spag5,Med29,Man1a2,Bid,Kcnq1,Large1,Tmem184b,Slc25a35,Arrb1,Sgpl1,Timp2,Pik3ca,Rcbtb2,Cpox,Ppic,Traf1,NA
Lmf1,Top3a,Bax,Kansl3,Matk,Tex15,Ppp1cc,Bcl2l13,Il20ra,Isyna1,Appl2,Ywhah,Cd2,Wdyhv1,Rrp36,Spindoc,Rasgrp1,NA
Borcs8,Nab1,Rpl8,Tnpo3,Sgsh,Sh3bp5l,Mcemp1,Nav1,Fam241b,Nuak1,Snx13,Ccl9,Afap1,Rabl2,Cript,Ddit3,Nfatc2,NA
Rgs19,Hbp1,Cwc15,Zfp715,Sh2b2,Prdm15,Srp19,Med15,Id2,Lgr5,Gna13,Slc36a2,Ppm1n,Hhex,Alppl2,Dtymk,Dyrk2,NA
Tgfb1,Foxj2,Emg1,Pten,Rcn1,Map3k4,Dnajb9,Ankrd28,Wscd1,Helb,Rabep1,Adap2,Magee1,Ankrd2,Hnmt,Meig1,Inpp5b,NA
Naa20,Dgcr2,Atp6v1f,Hps5,Htra1,Hivep2,Cnksr3,Med22,Timm22,Llgl1,Galc,Psmd12,Xkrx,Sat1,Lrrc57,Arpc5l,Nol9,NA
Mea1,Etv3,Slc25a18,Chfr,Elk3,Gata3,Awat1,Tox4,Dcaf4,Ftsj3,Trappc13,Myh10,Bmx,Sbds,Gtf2b,Nbea,Cd38,NA
Kdelr1,Snrnp200,Cstb,Casd1,Plcd1,Cacna1d,Slpi,Etaa1,Zfp369,Fbf1,Cln5,Lgmn,Slc7a2,Tatdn3,Nfia,Casp6,Gbp9,NA
Hmgn2,Brd8,Ube2m,Setdb1,Adssl1,Il10,2810408A11Rik,Matn4,Pcsk1,Adck1,Nup155,Ly86,Herpud1,Mgst3,Cdkl2,Polr3gl,Klrk1,NA
Atp5d,Nfat5,Sra1,Mtrex,Etv5,Nt5c3b,Plscr3,Nbr1,Zc3h13,Lman2,Washc5,Cd180,Cx3cl1,Trdmt1,Tmem209,Exosc3,Swap70,NA
Fkbp11,Myo9b,Snf8,Brca1,Plekho1,Traf4,Cops6,Med24,Rgcc,Mxd3,Endou,Hexb,Rora,Cdk5rap1,Cidec,Ambp,Ptgs2,NA
Pld3,Dgkq,Tmem147,Crk,Castor2,Ada,Cyb561,Abr,Rab2b,Ecd,Nde1,Ctsb,Slc25a36,Cisd2,Arl6ip1,Khk,Fanca,NA
Calr,Ndrg1,Rps9,Pank3,Pdcd1lg2,Retreg3,Frk,Acly,Adcy4,Zswim8,Ildr1,Nufip1,Rims3,Casz1,F9,Zkscan14,Ccl5,NA
Hmox2,Polr2a,Tfpt,Slc35b4,Cyth1,Rnf145,Cd164,Atl1,Retreg1,L3mbtl2,Cd86,Oxct1,Ttc7b,Nmnat1,Rpusd4,Fus,Uvrag,NA
Phb2,Mprip,Pfdn2,Stxbp5,Pltp,Lrp11,Perp,Susd6,Grhl2,Fam83f,Ifnar1,Umps,Dysf,Cxcl1,Trf,Smim19,Tnfsf9,NA
Ly9,Zfp592,Cyba,Pald1,Myo1c,Utrn,Ntn4,Golga5,Mrpl13,Crybg3,Qpct,Itgb5,Mga,Adipor2,Ramp1,Il15,Dennd5a,NA
Rab11a,Pan2,Acot13,Cand1,Abi3,Med23,Pbld2,Tnfaip2,Wdr53,Runx1,Washc2,Tmem50b,R3hcc1,LTO1,P2ry13,Taf1c,Tbc1d2b,NA
Prdx2,Ncoa2,Lsm2,Actr2,Rad51d,Hcfc2,Pwwp3a,Kif13a,Prr13,Gart,Pstpip2,Ifnar2,Filip1,Syt8,Lrg1,Neil1,Ifi206,NA
Txn2,Dhx34,Lrrc8a,Osbpl8,Cxcl16,Ppm1m,Phlda1,Dapk1,Cdkn1a,Igf2r,Copg2,Gtf2ird1,Ubd,Dhodh,Shank2,Crebl2,Jarid2,NA
Ndufs3,Crkl,0610009B22Rik,Fbxw11,Slc6a8,Jade2,Arsg,Serinc5,Slc17a9,Twsg1,Fn1,Rab3il1,Adrb1,Fbxl2,Tob1,Dnajc17,Trps1,NA
Psmd4,Usp19,Hnrnpa0,Tns3,Akt3,Ascc2,Adcy3,Hmbox1,Mrpl14,Myo1f,Tnfrsf11a,Slc25a45,Reep6,Trib3,Nsrp1,Lcat,Rap1gap2,NA
Psmb4,Ezh1,Rplp1,Stxbp4,P4ha1,Map2k6,Mnat1,Lcp1,2700062C07Rik,C2,Cfh,Esyt1,Gramd4,Ccdc88a,Btbd10,Vps13c,F13a1,NA
Reep5,Gtpbp3,Ap2s1,Pik3cg,Arg1,Ern1,Mak,Xpo7,Ring1,Hmgxb3,Nvl,Paox,Sstr4,Neurl1b,Sobp,Znrd1,Stx11,NA
Ergic3,Hdac5,Sertad1,Ncoa1,Slc29a3,Ctc1,Marveld2,Nptxr,H2-Oa,Ms4a3,Olfm1,Nrp1,H2-DMb2,Uchl4,Mpp6,Rbm8a,Sh3kbp1,NA
Odr4,Met,Rps18,Rffl,Vsir,Nrde2,Ocln,Vdr,Fas,Ppp2r5b,Ptpra,Fam20c,Plcl2,Lzts2,Slc7a5,Arfrp1,Sh2b3,NA
Atp5g1,Nxf1,Rps15a,Ankfy1,Apc2,Mtr,Dusp13,Glyr1,Cdk2ap2,Ltbp3,Spint1,Alkbh8,Tgfb2,Polr3g,Tmc7,Golga4,Kdm7a,NA
Tbcb,2610507B11Rik,Vps72,Cpd,Slc22a4,Elovl2,Slc22a17,Mroh1,Acy3,Fgd1,Mfsd1,Cln8,Slc9a8,C530008M17Rik,Trim46,Agbl3,Flt3,NA
Fblim1,Ptprs,Fxyd5,Gosr2,Pdlim4,Susd3,Laptm4b,Dnm1l,Cyp26a1,Gaa,Papss1,Ifi211,Rxrb,Tmem177,Cd24a,Rpl12,Ppp2r3a,NA
Osgep,Ube2z,Rps25,Gtf2a1,Atxn7l1,Ippk,Sla,Arhgap31,Casp7,Uqcrc1,Wls,Tcp11l1,March9,Spry1,E130311K13Rik,Dusp10,Ifi209,NA
Crip1,Anapc1,Nedd8,Sel1l,Kif3c,Rasa1,Yaf2,Agap3,Fuom,Pigq,Ube2j1,Chst1,Trem1,Itln1,Fam118b,Ifi203,Hs3st3a1,NA
Med8,Piezo1,Mrpl52,Hif1a,Sec14l1,Iqgap2,Tbc1d23,Synj2,Dst,Glb1l,Tex10,Adal,Itga1,Snrnp25,Fam171a1,Dok4,Arl4c,NA
Aprt,Wdfy2,Rbm25,Exoc2,Abcc3,Dnah12,Fstl1,Tbc1d5,Dnajc1,Asb1,Ndc1,Gclm,C1galt1,Fam221b,Mettl5,Lsm8,Plagl2,NA
Mettl1,Strip1,Thg1l,Ripk1,Xylt2,Sema3g,Tmem41a,Ubr2,Fam166a,Cdk18,Lrrc41,Fabp3,Hilpda,Pced1b,Sae1,Paxx,Tarm1,NA
Clic1,Msh3,Rps5,Agtpbp1,Rtn1,Rhobtb2,Pigp,Stk38,Slc43a3,Parp1,Anapc4,Orc5,Trp53bp1,1700056E22Rik,Zfand2a,H1f4,Ece1,NA
Tssk4,Unkl,Enkd1,Trip13,Pcnx,Drosha,Fhl1,Ccdc167,Adam33,Capn2,Ugdh,Cds1,Snhg11,Stbd1,Pdlim1,H1f5,Rapgef2,NA
Rhoa,Lrrk1,Elof1,Tppp,Pacs2,Fbxo32,Epas1,Abca3,Fam98b,Tmem63a,Antxr2,Anxa3,E230025N22Rik,Brd8dc,Fam136a,Trim5,Zbtb34,NA
Rpl10,Erbb3,Tmem208,Cast,Aoah,Josd1,Pigf,Ift140,Bpifa1,Ak1,Diablo,Mark4,Scml4,2310022A10Rik,Zfp105,Phf5a,Fcho1,NA
Rala,Stk4,Acsf3,Erbin,Carmil1,Nckap1l,Celf4,Svil,Mrgbp,Abl1,Vps33a,Ophn1,Hjurp,Ceacam19,Arl1,H4c4,Ifi213,NA
Dynll1,Shroom1,Edf1,Il6st,Sema4d,Prm1,Col11a2,Wdr33,Arfgap1,Camsap1,Sec61a1,Vps26b,Dmd,Smim11,Btbd9,Rpp25,Tnnc1,NA
Srp14,Mtmr4,Mrpl32,Glud1,Lpcat1,Cep97,Tmem138,Tcerg1,Ptgfrn,Cwc22,Cyfip1,Mpzl2,Rln3,Pfdn4,Itgb1bp1,Rap1a,NA,NA
Dmap1,Acsl1,Bola1,Slmap,Gpr65,Gcsam,Ms4a8a,Me2,S100a11,Ehd4,Ccdc22,Slc37a2,Adrb2,Thoc7,Tmed5,Slfn9,NA,NA
Ick,Sart3,Atp5e,Mtmr6,Extl3,Dgcr8,Tcf7l2,Atp9b,Crtc2,Kat14,Stard8,1700017B05Rik,Otulin,Tafa5,Fcrlb,Cox7a1,NA,NA
Rdm1,Zfp687,Ppdpf,Trim35,Fyb,St3gal6,Maoa,Isoc1,Slc50a1,Mfn1,Tlr3,Ppib,Ticrr,Cebpb,Olfr1330,Zfp960,NA,NA
Pigyl,Slc35e1,Ndufa1,Slc39a14,Slc7a8,St6gal1,Abhd6,Rfk,Pla2g12a,Slc27a3,Gnpat,Cmtm7,Agmo,Cxcl2,I830077J02Rik,NA,NA,NA
Cars,Mical1,Cr1l,Fbxl3,Rai14,Itsn1,Dnase1l3,Ddb1,Epha7,Sema4a,Rcn2,Fkbp1a,Prag1,Acyp2,Commd6,NA,NA,NA
Akt1s1,Crybg1,Rpl19,Tars,Mief1,Krt7,Adhfe1,Ppp6r3,Hint2,F3,Ciao2a,Cd300a,Msrb3,Zfp428,Gm5150,NA,NA,NA
Tbrg1,Apaf1,Cox7c,Nadk2,Sept3,Csad,Slc9a4,Pik3ap1,Calr4,B4galt2,Mamdc2,Nrip3,D630039A03Rik,Polr1c,Klhl33,NA,NA,NA
Rpl15,Micu1,Atox1,Atp13a3,Rogdi,Rttn,Nabp1,Dclre1a,Acot7,Ncdn,Idua,Tgfbi,Nrgn,Smok2b,NA,NA,NA,NA
Atraid,Dock2,Mrpl58,Slc35a5,Alcam,Pla2g7,Xrcc5,Hspa12a,4930548H24Rik,Ago3,Hsdl1,Acta2,Lgals4,Ifi207,NA,NA,NA,NA
Zfp385c,Stk10,Med11,Usp25,Tarbp2,Aars2,Stk25,Fasn,Olfr109,H6pd,Pdk3,Map11,Tcim,Sh2d1b2,NA,NA,NA,NA
Cacybp,Sptbn1,Fis1,Synj1,Cxcl13,Pi16,Mlph,Scd2,2010109A12Rik,Pcdh7,Tdrd7,Stox2,Drc3,Gm14548,NA,NA,NA,NA
Cmc2,Cyfip2,Tmem160,Vwa5a,Abcc1,Lpin2,Nmt2,Mgat4a,Arl6ip4,Klhl8,Misp,Bcl9,Ebf1,Mocs3,NA,NA,NA,NA
Ceacam16,Cnot6,D8Ertd738e,Phf10,Gps2,Birc6,Apbb1ip,Tmem131,Oasl2,Tfip11,Cerk,BC028528,Adtrp,Naa80,NA,NA,NA,NA
Psmb1,Myo1g,Polr2i,Tnfrsf21,Tmem176a,Srbd1,Kynu,Plekhb2,Herc2,Ints1,Zscan21,Myo16,Spock2,Tmsb15b1,NA,NA,NA,NA
Trappc2l,Smtn,Hint3,Arhgap28,Tpi1,Tpgs2,Dusp19,Copa,Fah,Hyal5,Syn1,Xaf1,Mamld1,Cd200r2,NA,NA,NA,NA
Mocs2,Pold2,1700021F05Rik,Akap8,Fgd2,Zfp871,Napb,Nek2,Snx20,Bcl2l14,Hgsnat,Apobec1,Zfp422,Dynlt1b,NA,NA,NA,NA
Nat9,Aebp1,Snrpf,Strn,Epb41l3,Arap3,Wwtr1,Itga8,Vps4a,Tmem238,Uggt1,Mgl2,Patj,Ccdc166,NA,NA,NA,NA
Atp6v0e,Galnt10,Anapc16,Pja2,Fam234a,Trim8,Gask1b,Pmpca,St14,Il4ra,Slc43a2,Zfand4,Zkscan7,Mroh6,NA,NA,NA,NA
Pdzd11,Sdc1,Ndufs7,Prss30,Bin1,Nhlrc2,Ctsk,Ttc17,Mgll,Disp1,Vill,B3galnt1,Sema3e,NA,NA,NA,NA,NA
Psma2,Map3k3,Sf3a2,Fkbp5,Aif1,Hdgfl3,Adgrl2,Ubr1,AA467197,Plk1,Abitram,Tmem86b,Cdc42ep5,NA,NA,NA,NA,NA
Ctsz,Ddx42,Timm13,Lars,Nedd4l,Loxl4,Atp6v0d2,Zfp106,Cryzl2,Wwc2,Itga9,Tmem104,Macrod2,NA,NA,NA,NA,NA
Ube2a,Helz,Hint1,Dpysl3,Csf1r,Ifitm1,Enho,Atrn,Iqsec1,Vps37a,Adgrg6,Nxpe5,Efcc1,NA,NA,NA,NA,NA
Eif3d,Cluh,Rack1,Napg,Ms4a7,Zfp282,Hook1,Gzf1,Dhrs11,Ednra,Rbpj,Gpr157,Cited4,NA,NA,NA,NA,NA
Srsf6,Unk,Pttg1,Htr7,Tollip,Als2,Ccdc30,Kif3b,Isg15,Eif2ak3,Daglb,Gm4737,Klrg2,NA,NA,NA,NA,NA
Coa3,Llgl2,Rps27a,Apba1,Arhgap19,Il1r1,Lypla2,Ect2,Cdhr3,Pik3r2,Ndst2,Mmp12,Zfp9,NA,NA,NA,NA,NA
Pigt,Nos2,Mrps24,Lrp5,Zdhhc16,Stat1,Ptpn12,Ahcyl1,Hspb6,Wwp2,Fgl2,Tmem37,9430069I07Rik,NA,NA,NA,NA,NA
Stard3,Prpf8,Sap30l,Shoc2,Adpgk,B3gat2,Yrdc,Coro2a,Ttc29,Lactb,Armh3,Mafg,Dcst2,NA,NA,NA,NA,NA
Psmb6,Spag9,Pctp,Zdhhc6,Baiap2,Plcd4,Trnau1ap,Aco1,Dexi,Mapkapk3,Zc3h12d,Tlr11,NA,NA,NA,NA,NA,NA
Spag7,Aloxe3,Nt5c,Tm9sf3,Adam8,Abcb6,Prom1,Nol6,Tapbpl,Srxn1,Cop1,Rab7b,NA,NA,NA,NA,NA,NA
C1qbp,Top2a,Mrpl38,R3hcc1l,Ifitm5,Mcm6,Dipk1a,Abcf2,Rras,Ttll4,Cables1,Ubl7,NA,NA,NA,NA,NA,NA
Ctdnep1,Stat5b,4933427D14Rik,Erlin1,Hk3,Srgap2,Rassf6,Slc4a2,Bud31,Rpap1,Bend6,Fez2,NA,NA,NA,NA,NA,NA
Elp5,Ralgapa1,Aurkb,Arih1,Casp12,Klhl12,Flt1,D5Ertd579e,Ephx1,Hdlbp,Stab1,Blnk,NA,NA,NA,NA,NA,NA
Gabarap,Nin,Stx8,Limd1,Paqr8,Mpzl1,Wasl,Copg1,Stap2,Tmed8,Tmem183a,Hspb11,NA,NA,NA,NA,NA,NA
Phf23,Wdr37,Lsm12,Gnl3l,Cyp27a1,Il1rn,Prickle2,Clec12b,1110008P14Rik,Pomt2,Arel1,Arhgap22,NA,NA,NA,NA,NA,NA
Copz2,Mlh3,Degs2,Usp33,Slc11a1,Itga6,Ruvbl1,Ercc2,Prrc2b,Vps18,Snx18,Ethe1,NA,NA,NA,NA,NA,NA
Tnfsfm13,Gpatch2l,Exoc3l4,Dock9,Htr2b,Slc28a2,Clec1b,Siglece,Bahcc1,Sppl2b,Eif3j2,Zfp467,NA,NA,NA,NA,NA,NA
Mpdu1,Traf3,Uqcrb,March8,Gpr35,Cdan1,Sspn,Myh14,Cc2d2a,Mboat7,Lhfpl2,Wfdc17,NA,NA,NA,NA,NA,NA
Atp5g3,Nup153,Ndufs6,Itgb1,Serpinb8,Sdcbp2,Bhlhe41,Myo7a,Trub2,Zswim4,Pid1,Eif4e3,NA,NA,NA,NA,NA,NA
Cd68,Wrnip1,Btf3,Slc39a10,Rgl1,Tbl1xr1,Sbk2,Rnf141,Rab11fip2,Dok3,Lrrc8d,NA,NA,NA,NA,NA,NA,NA
Ccl6,Prpf4b,Ndufs4,Inpp5d,Smyd2,Src,Dnajb13,Hdac6,Slc25a34,5031439G07Rik,Kcnk6,NA,NA,NA,NA,NA,NA,NA
Atp6v1e1,Slc6a19,Nkiras1,Nek7,Pfkfb3,Dhx35,Spns1,Erlin2,Iqcc,Mgat5,B3gntl1,NA,NA,NA,NA,NA,NA,NA
Cops3,Ero1l,Spcs1,Rbbp5,Stxbp1,Trim2,F7,Ptpn7,Pla2g2d,Snapc4,Rbm33,NA,NA,NA,NA,NA,NA,NA
Ddx39b,Nisch,Mrpl57,Soat1,St6galnac6,Iqgap3,Mt2,Wrn,Nthl1,Lrrn3,Tnfsf15,NA,NA,NA,NA,NA,NA,NA
Gyg,Xpo4,Dnajc15,Iars2,Eng,Cdh17,Map1lc3b,Adcy7,Serpina3g,Kidins220,B3galt6,NA,NA,NA,NA,NA,NA,NA
Mrpl24,Dcp1a,Nipbl,Dclre1c,Card9,Bspry,Gabarapl2,Amfr,Wdr74,Thap11,Tmem123,NA,NA,NA,NA,NA,NA,NA
Rwdd1,Spata13,Dad1,Sephs1,Gatm,Zdhhc21,Trim29,Ilf3,Il17re,Ehmt1,Acvr2a,NA,NA,NA,NA,NA,NA,NA
Snx3,Gpalpp1,Psmb5,Zeb2,Jag1,Reck,Oaf,Myo1e,S100a1,Unc93b1,Immt,NA,NA,NA,NA,NA,NA,NA
